field,en-content,es-content,hy-content,zh-tw-content,ko-content,ja-content,ru-content,vi-content
privacy,Privacy Policy,Política de privacidad,Գաղտնիության քաղաքականություն,隱私權政策,개인정보 처리방침,プライバシーポリシー,Политика конфиденциальности,Chính Sách Quyền Riêng Tư
terms,Terms of Use,Términos de uso,Օգտվելու կանոններ,使用條款,이용약관,利用規約,Условия использования,Điều Khoản Sử Dụng
contact,Contact Us,Contáctenos,Կապ մեզ հետ,聯絡我們,문의,お問い合わせ,Связаться с нами,Liên Hệ Với Chúng Tôi
show_translate_button,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
translate,Translate,Traducir,Թարգմանել,翻譯,번역,翻訳,Перевести,Dịch
top,Back to top,Volver al principio de esta página,Back to top,Back to top,Back to top,Back to top,Back to top,Back to top
selectLanguage,Select Language,Seleccione el idioma,Ընտրել լեզուն,選擇語言,당신의 언어를 고르시 오,言語を選択する,Выберите язык,Chọn ngôn ngữ
takeone_label_en,English,English,English,English,English,English,English,English
takeone_label_es,Español (Spanish),Español (Spanish),Español (Spanish),Español (Spanish),Español (Spanish),Español (Spanish),Español (Spanish),Español (Spanish)
takeone_label_hy,հայերեն (Armenian),հայերեն (Armenian),հայերեն (Armenian),հայերեն (Armenian),հայերեն (Armenian),հայերեն (Armenian),հայերեն (Armenian),հայերեն (Armenian)
takeone_label_zh-tw,中文 (Chinese Traditional),中文 (Chinese Traditional),中文 (Chinese Traditional),中文 (Chinese Traditional),中文 (Chinese Traditional),中文 (Chinese Traditional),中文 (Chinese Traditional),中文 (Chinese Traditional)
takeone_label_ko,한국어 (Korean),한국어 (Korean),한국어 (Korean),한국어 (Korean),한국어 (Korean),한국어 (Korean),한국어 (Korean),한국어 (Korean)
takeone_label_ja,日本語 (Japanese),日本語 (Japanese),日本語 (Japanese),日本語 (Japanese),日本語 (Japanese),日本語 (Japanese),日本語 (Japanese),日本語 (Japanese)
takeone_label_ru,русский (Russian),русский (Russian),русский (Russian),русский (Russian),русский (Russian),русский (Russian),русский (Russian),русский (Russian)
takeone_label_vi,Tiếng Việt (Vietnamese),Tiếng Việt (Vietnamese),Tiếng Việt (Vietnamese),Tiếng Việt (Vietnamese),Tiếng Việt (Vietnamese),Tiếng Việt (Vietnamese),Tiếng Việt (Vietnamese),Tiếng Việt (Vietnamese)
takeone_file_en,December_Service_Change_English.pdf,December_Service_Change_English.pdf,December_Service_Change_English.pdf,December_Service_Change_English.pdf,December_Service_Change_English.pdf,December_Service_Change_English.pdf,December_Service_Change_English.pdf,December_Service_Change_English.pdf
takeone_file_es,December_Service_Change_Spanish.pdf,December_Service_Change_Spanish.pdf,December_Service_Change_Spanish.pdf,December_Service_Change_Spanish.pdf,December_Service_Change_Spanish.pdf,December_Service_Change_Spanish.pdf,December_Service_Change_Spanish.pdf,December_Service_Change_Spanish.pdf
takeone_file_hy,December_Service_Change_Armenian.pdf,December_Service_Change_Armenian.pdf,December_Service_Change_Armenian.pdf,December_Service_Change_Armenian.pdf,December_Service_Change_Armenian.pdf,December_Service_Change_Armenian.pdf,December_Service_Change_Armenian.pdf,December_Service_Change_Armenian.pdf
takeone_file_zh-tw,December_Service_Change_Chinese.pdf,December_Service_Change_Chinese.pdf,December_Service_Change_Chinese.pdf,December_Service_Change_Chinese.pdf,December_Service_Change_Chinese.pdf,December_Service_Change_Chinese.pdf,December_Service_Change_Chinese.pdf,December_Service_Change_Chinese.pdf
takeone_file_ko,December_Service_Change_Korean.pdf,December_Service_Change_Korean.pdf,December_Service_Change_Korean.pdf,December_Service_Change_Korean.pdf,December_Service_Change_Korean.pdf,December_Service_Change_Korean.pdf,December_Service_Change_Korean.pdf,December_Service_Change_Korean.pdf
takeone_file_ja,"December_Service_Change_Japanese.pdf
",December_Service_Change_Japanese.pdf,December_Service_Change_Japanese.pdf,December_Service_Change_Japanese.pdf,December_Service_Change_Japanese.pdf,December_Service_Change_Japanese.pdf,December_Service_Change_Japanese.pdf,December_Service_Change_Japanese.pdf
takeone_file_ru,December_Service_Change_Russian.pdf,December_Service_Change_Russian.pdf,December_Service_Change_Russian.pdf,December_Service_Change_Russian.pdf,December_Service_Change_Russian.pdf,December_Service_Change_Russian.pdf,December_Service_Change_Russian.pdf,December_Service_Change_Russian.pdf
takeone_file_vi,December_Service_Change_Vietnamese.pdf,December_Service_Change_Vietnamese.pdf,December_Service_Change_Vietnamese.pdf,December_Service_Change_Vietnamese.pdf,December_Service_Change_Vietnamese.pdf,December_Service_Change_Vietnamese.pdf,December_Service_Change_Vietnamese.pdf,December_Service_Change_Vietnamese.pdf
